Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","1990","1990","kg/ha","1.12","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","1991","1991","kg/ha","1.08","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","1992","1992","kg/ha","1.08","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","1993","1993","kg/ha","1.07","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","1994","1994","kg/ha","1.07","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","1995","1995","kg/ha","1.07","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","1996","1996","kg/ha","1.06","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","1997","1997","kg/ha","1.06","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","1998","1998","kg/ha","1.05","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","1999","1999","kg/ha","1.05","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2000","2000","kg/ha","1.05","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2001","2001","kg/ha","0.91","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2002","2002","kg/ha","0.45","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2003","2003","kg/ha","0.63","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2004","2004","kg/ha","0.72","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2005","2005","kg/ha","1.51","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2006","2006","kg/ha","1.48","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2007","2007","kg/ha","1.95","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2008","2008","kg/ha","1.93","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2009","2009","kg/ha","1.95","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2010","2010","kg/ha","2.04","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2011","2011","kg/ha","2.1","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2012","2012","kg/ha","1.95","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2013","2013","kg/ha","1.9","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2014","2014","kg/ha","1.73","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2015","2015","kg/ha","1.95","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2016","2016","kg/ha","1.95","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2017","2017","kg/ha","2.22","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2018","2018","kg/ha","2.35","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2019","2019","kg/ha","2.21","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2020","2020","kg/ha","1.82","E","Estimated value"
"RP","Pesticides Use","484","Mexico","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","1.9","E","Estimated value"
